L_elbow,R_elbow,L_shoulder,R_shoulder,L_knee,R_knee,L_hip,R_hip,L_ankle,R_ankle,torso
144.86802701764108,128.35553352842138,89.45154114107551,88.15141652349376,56.12405193655302,56.12405193655302,47.33141258926106,35.33231924679854,,,34.62941706877137
141.61802061000768,131.8265695049256,90.98408067043374,91.7562540851038,57.67082898523064,57.67082898523064,42.6372327104232,34.209823041946976,,,34.82020845083547
139.83365904757065,132.8400982567814,90.45569690493656,92.98280067832236,57.613078494399424,57.613078494399424,38.97311825827187,31.812053529717954,,,35.46181150238591
139.84548445694722,131.1535631333859,89.67368867854347,89.5109866202984,53.587458014430226,53.587458014430226,39.58079926033537,33.48381900928456,,,35.17046457870427
138.28027928865768,130.32240359520824,86.68149122894071,85.55494180415198,59.26568074762959,59.26568074762959,40.73585018109696,37.97767304465253,,,35.051591984063194
140.40722254462753,128.69965961647404,86.35544936510117,81.08837513886047,57.910795345698595,57.910795345698595,45.88585392798339,38.38025458827048,,,34.55611089766657
138.62392229606237,127.95991622145897,85.20016150991954,78.40887916110549,59.58603667034095,59.58603667034095,46.923461078730575,40.11088061166698,,,34.18693144355254
140.06190398152702,128.78294807907895,87.50723401181551,81.170481308062,58.13553403733739,58.13553403733739,46.45701054065308,38.20401684214129,,,34.24331060176097
139.31513683165483,128.65208483650076,86.33002975439682,78.50770696812803,57.55357529098122,57.55357529098122,47.30751411842411,38.39412506087775,,,34.0702390291209
139.0682188238371,129.17695685752625,83.31869604274273,78.8215604055676,59.802310645786775,59.802310645786775,49.28375156926488,38.044668312544545,120.72554377906876,120.72554377906876,33.63972196025066
136.7189115878856,128.50814963140613,80.25649851675219,76.62271812645082,55.451427364840825,55.451427364840825,49.974972846227836,36.40930230984725,120.72554377906876,120.72554377906876,32.21327833644619
138.42878437978732,126.33785069122985,77.46942117175695,70.309709710262,51.80254181919468,51.80254181919468,53.16770431872657,38.0734091081723,120.72554377906876,120.72554377906876,31.352446823280083
136.07788801114435,123.40624362824478,76.9886197433339,73.02133706686878,51.36452835906767,51.36452835906767,48.78566909543057,37.198573312109986,125.75571967283108,125.75571967283108,31.408102333304758
143.78605840449578,135.06506740708437,80.22003679427617,59.20761199704238,55.4772258611974,55.4772258611974,52.27461887846605,37.61096115033184,108.63409656637167,108.63409656637167,29.861303696920903
143.01624966598894,137.73868394175022,80.81568730293705,52.38175975853423,59.14602983371317,59.14602983371317,49.65379123429401,39.520667003850264,110.55430009000436,110.55430009000436,29.614011723791283
142.21847303703785,131.11271904460747,80.72797131280448,60.54184101547139,60.17421127090739,60.17421127090739,49.192272849118595,37.6028942686735,122.28800398696069,122.28800398696069,30.274715648528986
136.4450739910603,119.92881932855461,76.29872270357237,62.11999645973269,53.97425378994613,53.97425378994613,49.49510058222307,36.58681788136303,125.81921858977816,125.81921858977816,30.628128907816382
135.66128329862997,121.55855411770911,74.91472010290461,59.57851946331016,52.56383095386347,52.56383095386347,50.97314745338256,38.143728199001,123.03350533269068,123.03350533269068,30.584966199938744
149.11909930133513,148.10054125509816,86.675021515509,52.104474307399165,49.85255752202427,49.85255752202427,54.29030529016777,40.98567873540787,117.94501325762657,117.94501325762657,27.467202204210675
139.77881167901546,98.44065985182844,75.93362300914782,32.95210889277986,50.9251258000379,50.9251258000379,61.20323389850425,52.789430943367535,120.50829168179246,120.50829168179246,24.215152165784563
138.69899654398785,118.98702490348528,71.50914315086183,34.11526271541515,84.81272599306813,49.4709168061196,65.50260773464937,58.84294470513088,119.43558739704807,119.43558739704807,22.23440554179808
126.34575318937667,108.88244115302223,64.17227058092813,26.321312301140438,92.63809174198678,48.70844677342389,73.31432350034558,70.49860463287524,104.19311854336149,104.19311854336149,19.747262448711787
124.56907517617664,106.48742300144451,59.81247979603683,21.624427255208424,96.8514725215386,55.273577696259935,78.37376983623749,83.83594395341022,104.19311854336149,104.19311854336149,18.96352537010863
124.02270527266477,116.2451893354774,60.74092993832546,30.65420451815951,100.25339836472592,65.09965208413145,79.30150655489037,99.26719676814302,104.19311854336149,104.19311854336149,16.72626871476449
124.7438317798928,123.17719551103394,62.31528006626806,37.14671816883247,102.27721221276997,58.73974037596951,76.41612438357036,81.3030088436656,104.19311854336149,104.19311854336149,16.21117038280836
116.95958189810175,131.22819756711849,58.81045947762881,38.895311840862824,89.23047480431421,53.701738771869834,77.44613201145502,93.79910156751824,104.19311854336149,104.19311854336149,14.314714685475824
106.57779465805724,134.71537387789897,53.42330205900642,40.36957718683069,83.41214229654517,51.29376910341943,76.164069050202,93.0029604118101,104.19311854336149,104.19311854336149,12.999865708149143
105.40012790183923,138.32979138974446,50.67803801537196,39.895020980587894,85.03967853846017,49.683676247208155,77.10386065371287,93.47156707922792,104.19311854336149,104.19311854336149,11.425326006379553
109.13718183173089,141.07136593472748,59.81920281639702,55.44486572959259,79.58370574033148,46.03035594978416,73.61055782773505,81.50171188299856,104.19311854336149,104.19311854336149,10.29787880086347
100.71176626716708,127.10946352953334,51.24178441805148,30.77761032314301,85.93569473860497,46.09037057513867,74.43878420268612,83.2778276757067,104.19311854336149,104.19311854336149,9.486562140560446
90.79092854252393,79.14837347432344,42.07621120400477,32.695637009813375,92.35293841192554,48.928713900330905,76.17754924397985,92.50375515865407,104.19311854336149,104.19311854336149,7.90342484611068
85.04735726492314,71.91681844990202,37.795768247427375,33.8468654614984,91.69948399408085,48.0076838421206,76.99199889791772,92.07338933277154,104.19311854336149,104.19311854336149,7.268345576986821
88.70876537530641,69.67128368403871,38.90191718536114,34.91271740001862,91.46106515454831,46.67926881980637,76.60288209834137,91.42861196724616,104.19311854336149,104.19311854336149,7.029528499069366
103.03311919927916,79.97272589895844,45.859768477105085,45.69036433898165,91.97622339788559,57.156303488217,84.98610032801945,94.65283215901336,104.19311854336149,104.19311854336149,4.455692040863653
104.68288800692756,86.41359920910104,55.241383578612286,51.880106840955264,93.07697771673159,58.528944149404296,89.32001236391712,87.23178069560825,104.19311854336149,104.19311854336149,3.373850288036277
108.5738341507884,86.12911539082624,47.562756744936394,45.72661635013357,94.2478418233863,68.31573567803937,95.33256782309664,92.13022819533488,104.19311854336149,104.19311854336149,2.897792102601476
115.69608581249635,84.10613058603504,59.86878494277006,48.681708624409644,90.19916698061941,59.17311381282832,86.41918111864722,87.76950633580772,104.19311854336149,104.19311854336149,3.160367234787564
107.08076119278896,83.94468219565655,55.4766349216508,42.19914306232171,91.27615355410715,64.58653958220886,84.69580621166759,88.61134248475824,104.19311854336149,104.19311854336149,4.289626473311387
102.59062952069095,78.96838500589935,48.49230828385882,45.326732158191284,92.96324389018737,68.78717445185355,86.11866472855333,90.21961765143556,104.19311854336149,104.19311854336149,4.977769366066394
104.4725512648667,75.86424140325244,47.71856786015248,49.55191254366238,91.69632132341526,67.13248459047436,88.65029865317351,90.71346066161334,104.19311854336149,104.19311854336149,5.199334398306798
105.72689480261066,75.20385198718633,49.13463248739903,51.00341794373729,91.11474515964926,65.01041390446592,88.75550661085327,90.51670830110342,104.19311854336149,104.19311854336149,5.204275019442515
100.04571085247171,72.38912931560394,53.35309849832484,48.903759739918314,65.9594441764275,65.9594441764275,87.07911578051583,86.85569983545273,104.19311854336149,104.19311854336149,5.4998681768113205
93.60734041611579,70.36648849451052,52.78794312403299,47.24933818452675,67.20590924653546,67.20590924653546,83.80714037216472,86.79075365606124,104.19311854336149,104.19311854336149,5.776234794812897
92.6175556250745,69.55265640644595,52.82867747476597,46.49595143368627,67.71890591282329,67.71890591282329,83.79123753483493,86.30001808046894,104.19311854336149,104.19311854336149,5.950568872773953
91.66012378532264,68.90218307367192,52.78657290398872,46.84855862143435,67.7163497925639,67.7163497925639,83.76081782345574,86.22297128790551,104.19311854336149,104.19311854336149,6.041635152966939
89.82855995837332,67.9286779314929,51.60005091261918,46.87682228110796,67.68210639243559,67.68210639243559,84.07173262180312,86.1686269265424,104.19311854336149,104.19311854336149,6.061351914526173
88.18543824737381,67.59544003286167,50.20245699486946,46.74751043367716,67.80236909394901,67.80236909394901,85.29102807630323,86.17639706868592,104.19311854336149,104.19311854336149,6.168812544015413
49.827937495307985,84.69188227479836,39.34676903268049,55.18964885888283,69.83477886997139,69.83477886997139,100.64161101077973,82.25311733597162,104.19311854336149,104.19311854336149,8.925311334066812
48.28684816522509,85.92437369073613,38.42868095625691,57.39381971482692,73.52527753152074,73.52527753152074,122.01244505749258,80.4879267991831,104.19311854336149,104.19311854336149,10.585821713647702
49.37960446178102,83.38508113419041,39.935879782680715,49.73560293065395,75.06081006485508,75.06081006485508,114.94481784275365,82.98560637795887,104.19311854336149,104.19311854336149,8.662652582469125
67.17272494330626,66.02364331702937,46.37882261162012,44.270467239158776,76.92360437347942,76.92360437347942,110.62751197943506,87.698376471418,104.19311854336149,104.19311854336149,8.339778356558938
65.76183453749802,62.28876597890154,45.596251063360874,43.92461088359566,79.65120295699252,79.65120295699252,108.19484510333908,89.90691638762453,104.19311854336149,104.19311854336149,9.740187143979256
51.344807251411716,60.6645847190295,40.76407233330073,43.185355505934496,78.53687027535643,78.53687027535643,94.49818794209405,88.90339641656061,104.19311854336149,104.19311854336149,10.212643470245553
61.62567599683226,58.40666676198868,44.64114164718718,44.785632388307235,78.42268176866988,78.42268176866988,95.33623619547566,87.35118998688468,104.19311854336149,104.19311854336149,10.36859004606927
82.56512057069483,55.666950272959575,55.91917198445979,54.215851247126324,82.01277441777967,82.01277441777967,96.80493184242619,87.20318995159302,104.19311854336149,104.19311854336149,11.908504063762214
87.10006859718735,59.48651366519897,62.350812827319984,62.03450044158622,78.03991004588133,78.03991004588133,93.46462602419226,87.23269987929685,104.19311854336149,104.19311854336149,12.024633171430546
